token_id,rarity_score,last_sale_price,price,priceUsd,predictions,residual,abs_residual
4339,33.12838123794596,6.0,5.75,14484.675195691763,15710.269763871593,-1225.5945681798294,1225.5945681798294
1213,190.33129704357447,0.42,0.489,2040.7036416181857,3266.051724300006,-1225.3480826818202,1225.3480826818202
9919,27.213030401220333,1.1,1.1,2777.6558367619514,1554.609614659883,1223.0462221020684,1223.0462221020684
534,49.74958131770647,0.285,0.29999,1384.5736120192971,2607.506780224666,-1222.9331682053687,1222.9331682053687
2011,49.5954132563329,4.69,5.0,12625.70834891796,11403.12496450177,1222.5833844161898,1222.5833844161898
3026,148.46126092462285,3.169,3.0,7609.511684344647,8830.826165232627,-1221.3144808879806,1221.3144808879806
2825,24.14326577876088,4.5,3.15,7935.082933292009,9156.134610602698,-1221.0516773106883,1221.0516773106883
7854,54.655765735756624,1.319,1.0,2525.141669783592,3744.595717578656,-1219.454047795064,1219.454047795064
8773,140.9778265831303,4.0,3.0,7575.425009350776,6358.12792915796,1217.2970801928159,1217.2970801928159
557,84.06119099786649,4.58,4.88,12727.857819504688,13943.650034066803,-1215.7922145621142,1215.7922145621142
5976,119.63161641024456,0.125,0.29,1370.3936744352968,2585.52604903027,-1215.132374594973,1215.132374594973
7080,63.10670487401925,0.275,0.27,771.2861171154264,1985.6017494639696,-1214.3156323485432,1214.3156323485432
3948,31.853908335702624,0.225,0.235,1084.6188167090063,2298.907890418901,-1214.2890737098946,1214.2890737098946
2690,113.33690236278484,0.32,0.469,1424.8160574909275,2638.269551434657,-1213.4534939437294,1213.4534939437294
6712,112.48390921785877,0.5989,0.5,2101.244737566299,888.156839011982,1213.0878985543172,1213.0878985543172
4400,37.790006609597576,3.2969,2.99,7584.146645396832,8796.984705865494,-1212.8380604686618,1212.8380604686618
621,208.6978928894035,0.39,0.2,826.9870606221893,2039.1445989884696,-1212.1575383662803,1212.1575383662803
855,108.142959196694,0.01,0.18,722.5564078212698,1933.3648141993315,-1210.8084063780616,1210.8084063780616
6366,112.6718037201792,1.25,1.059,2674.125028300824,3884.5834891222403,-1210.4584608214163,1210.4584608214163
2952,47.881961963146985,0.1869,0.2469,1175.7363065313489,-34.625031912876466,1210.3613384442253,1210.3613384442253
795,265.71302686880625,0.25,0.19,901.9749696498062,2111.9362707616774,-1209.9613011118713,1209.9613011118713
5863,105.80268631430025,3.2,3.4,8624.113242257266,9833.522464447851,-1209.4092221905848,1209.4092221905848
675,151.42993024005057,0.25,0.2,571.3230497151307,1775.2566975126288,-1203.933647797498,1203.933647797498
6895,45.459137639585904,0.98,0.988,2494.8399697461887,3696.1508487902656,-1201.310879044077,1201.310879044077
6780,76.20893914468077,3.15,3.3,8370.46285277911,7169.193741247958,1201.2691115311518,1201.2691115311518
2977,98.51539171940424,1.3,1.67,4216.986588538599,5417.264679043571,-1200.2780905049722,1200.2780905049722
3488,24.0104113028884,0.348,0.323,794.3275381182054,1992.1855652806319,-1197.8580271624264,1197.8580271624264
